epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,54.5238,0.69468,0.91667,1,0.6142,0.00011669,0.00011669,0.00011669
2,98.6245,0.34467,0.91667,1,0.26627,0.000245099,0.000245099,0.000245099
3,157.74,0.33548,0.91667,1,0.23543,0.000368227,0.000368227,0.000368227
4,212.412,0.36319,0.91667,1,0.16837,0.000486074,0.000486074,0.000486074
5,257.75,0.3167,0.91667,1,0.20536,0.00059864,0.00059864,0.00059864
6,303.304,0.20483,0.91667,1,0.18178,0.000705924,0.000705924,0.000705924
